Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Computational Linguistics and Intelligent Text Processing,Alexander Gelbukh,,"This two-volume set, consisting of LNCS 7816 and LNCS 7817, constitutes the thoroughly refereed proceedings of the 13th International Conference on Computer Linguistics and Intelligent Processing, CICLING 2013, held on Samos, Greece, in March 2013. The total of 91 contributions presented was carefully reviewed and selected for inclusion in the proceedings. The papers are organized in topical sections named: general techniques; lexical resources; morphology and tokenization; syntax and named entity recognition; word sense disambiguation and coreference resolution; semantics and discourse; sentiment, polarity, subjectivity, and opinion; machine translation and multilingualism; text mining, information extraction, and information retrieval; text summarization; stylometry and text simplification; and applications.",2.9,4,2003,http://covers.openlibrary.org/b/id/8631121-L.jpg
Artificial Intelligence Applications and Innovations,"Lazaros S. Iliadis, Ilias Maglogiannis, Harris Papadopoulos",,"This book constitutes the refereed proceedings of the 9th IFIP WG 12.5 International Conference on Artificial Intelligence Applications and Innovations, AIAI 2013, held in Paphos, Cyprus, in September/October 2013. The 26 revised full papers presented together with a keynote speech at the main event and 44 papers of 8 colocated workshops were carefully reviewed and selected for inclusion in the volume. The papers of the main event are organized in topical sections on data mining, medical informatics and biomedical engineering, problem solving and scheduling, modeling and decision support systems, robotics, and intelligent signal and image processing.",4.5,26,2006,http://covers.openlibrary.org/b/id/9336633-L.jpg
Neural Information Processing,Tingwen Huang,,"The five volume set LNCS 7663, LNCS 7664, LNCS 7665, LNCS 7666 and LNCS 7667 constitutes the proceedings of the 19th International Conference on Neural Information Processing, ICONIP 2012, held in Doha, Qatar, in November 2012. <br>The 423 regular session papers presented were carefully reviewed and selected from numerous submissions. These papers cover all major topics of theoretical research, empirical study and applications of neural information processing research. The 5 volumes represent 5 topical sections containing articles on theoretical analysis, neural modeling, algorithms, applications, as well as simulation and synthesis.",3.7,8,2012,http://covers.openlibrary.org/b/id/8699043-L.jpg
Natural Language Processing and Information Systems,Elisabeth Métais,,"This book constitutes the refereed proceedings of the 18th International Conference on Applications of Natural Language to Information Systems, held in Salford, UK, in June 2013. The 21 long papers, 15 short papers and 17 poster papers presented in this volume were carefully reviewed and selected from 80 submissions. The papers cover the following topics: requirements engineering, question answering systems, named entity recognition, sentiment analysis and mining, forensic computing, semantic web, and information search.",4.0,22,2005,http://covers.openlibrary.org/b/id/8698513-L.jpg
Advances in Computational Intelligence,Ignacio Rojas,,"This two-volume set LNCS 7902 and 7903 constitutes the refereed proceedings of the 12th International Work-Conference on Artificial Neural Networks, IWANN 2013, held in Puerto de la Cruz, Tenerife, Spain, in June 2013. The 116 revised papers were carefully reviewed and selected from numerous submissions for presentation in two volumes. The papers explore sections on mathematical and theoretical methods in computational intelligence, neurocomputational formulations, learning and adaptation emulation of cognitive functions, bio-inspired systems and neuro-engineering, advanced topics in computational intelligence and applications",3.4,19,2013,http://covers.openlibrary.org/b/id/8614566-L.jpg
"Knowledge Discovery, Knowledge Engineering and Knowledge Management",Ana Fred,,"This book constitutes the thoroughly refereed post-conference proceedings of the Third International Joint Conference on Knowledge Discovery, Knowledge Engineering, and Knowledge Management, IC3K 2011, held in Paris, France, in October 2011. This book includes revised and extended versions of a strict selection of the best papers presented at the conference; 39 revised full papers together with one invited lecture were carefully reviewed and selected from 429 submissions. According to the three covered conferences KDIR 2011, KEOD 2011, and KMIS 2011, the papers are organized in topical sections on knowledge discovery and information retrieval, knowledge engineering and ontology development, and on knowledge management and information sharing.",3.5,3,2011,http://covers.openlibrary.org/b/id/8682582-L.jpg
"Information and Communication Technologies in Education, Research, and Industrial Applications","Vadim Ermolayev, Heinrich C. Mayr, Mykola Nikitchenko",,"This book constitutes the thoroughly refereed proceedings of the 10th International Conference on Information and Communication Technologies in Education, Research, and Industrial Applications, held in Kherson, Ukraine, in June 2014. The 16 revised full papers presented were carefully reviewed and selected from 66 submissions. The papers are organized in topical sections on framework and tools; information and communication technologies in teaching and learning; information and communication technologies in research and industrial applications.",4.3,45,2013,http://covers.openlibrary.org/b/id/9384936-L.jpg
Advances in Data Mining. Applications and Theoretical Aspects,Petra Perner,,"This book constitutes the refereed proceedings of the 13th Industrial Conference on Data Mining, ICDM 2013, held in New York, NY, in July 2013. The 22 revised full papers presented were carefully reviewed and selected from 112 submissions. The topics range from theoretical aspects of data mining to applications of data mining, such as in multimedia data, in marketing, finance and telecommunication, in medicine and agriculture, and in process control, industry and society.",3.4,6,2009,http://covers.openlibrary.org/b/id/8614698-L.jpg
Counterterrorism and Cybersecurity,Newton Lee,,"Imagine James Bond meets Sherlock Holmes: Counterterrorism and Cybersecurity is the sequel to Facebook Nation in the Total Information Awareness book series by Newton Lee. The book examines U.S. counterterrorism history, technologies, and strategies from a unique and thought-provoking approach that encompasses personal experiences, investigative journalism, historical and current events, ideas from great thought leaders, and even the make-believe of Hollywood. Demystifying Total Information Awareness, the author expounds on the U.S. intelligence community, artificial intelligence in data mining, social media and privacy, cyber attacks and prevention, causes and cures for terrorism, and longstanding issues of war and peace. The book offers practical advice for businesses, governments, and individuals to better secure the world and protect cyberspace. It quotes U.S. Navy Admiral and NATO’s Supreme Allied Commander James Stavridis: “Instead of building walls to create security, we need to build bridges.” The book also provides a glimpse into the future of Plan X and Generation Z, along with an ominous prediction from security advisor Marc Goodman at TEDGlobal 2012: “If you control the code, you control the world.” Counterterrorism and Cybersecurity: Total Information Awareness will keep you up at night but at the same time give you some peace of mind knowing that “our problems are manmade — therefore they can be solved by man [or woman],” as President John F. Kennedy said at the American University commencement in June 1963.",3.1,13,2013,http://covers.openlibrary.org/b/id/8633542-L.jpg
Machine Learning and Data Mining in Pattern Recognition,"Petra Perner, Atsushi Imiya",,"This book constitutes the refereed proceedings of the 9th International Conference on Machine Learning and Data Mining in Pattern Recognition, MLDM 2013, held in New York, USA in July 2013. The 51 revised full papers presented were carefully reviewed and selected from 212 submissions. The papers cover the topics ranging from theoretical topics for classification, clustering, association rule and pattern mining to specific data mining methods for the different multimedia data types such as image mining, text mining, video mining and web mining.",4.0,19,2003,http://covers.openlibrary.org/b/id/2220587-L.jpg
Neural Information Processing,"Minho Lee, Akira Hirose, Zeng-Guang Hou, Rhee Man Kil",,"The three volume set LNCS 8226, LNCS 8227, and LNCS 8228 constitutes the proceedings of the 20th International Conference on Neural Information Processing, ICONIP 2013, held in Daegu, Korea, in November 2013. The 180 full and 75 poster papers presented together with 4 extended abstracts were carefully reviewed and selected from numerous submissions. These papers cover all major topics of theoretical research, empirical study and applications of neural information processing research. The specific topics covered are as follows: cognitive science and artificial intelligence; learning theory, algorithms, and architectures; computational neuroscience and brain imaging; vision, speech and signal processing; control, robotics and hardware technologies; and novel approaches and applications.",4.3,14,2013,http://covers.openlibrary.org/b/id/9337594-L.jpg
Biomedical Engineering Systems and Technologies,Ana Fred,,"This book constitutes the thoroughly refereed post-conference proceedings of the 4th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2011, held in Rome, Italy, in January 2011. The 27 revised full papers presented together with one invited lecture were carefully reviewed and selected from a total of 538 submissions. The papers cover a wide range of topics and are organized in four general topical sections on biomedical electronics and devices; bioinformatics models, methods and algorithms; bio-inspired systems and signal processing; health informatics.",3.7,7,2008,http://covers.openlibrary.org/b/id/8623831-L.jpg
Engineering Applications of Neural Networks,"Chrisina Jayne, Shigang Yue, Lazaros S. Iliadis",,"This book constitutes the refereed proceedings of the 13th International Conference on Engineering Applications of Neural Networks, EANN 2012, held in London, UK, in September 2012. The 49 revised full papers presented were carefully reviewed and selected from numerous submissions. The papers describe the applications of neural networks and other computational intelligence approaches to intelligent transport, environmental engineering, computer security, civil engineering, financial forecasting, virtual learning environments, language interpretation, bioinformatics and general engineering.",4.1,47,2012,http://covers.openlibrary.org/b/id/9374265-L.jpg
