Title,Director,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Venom: The Last Dance,Kelly Marcel,"Action, Science Fiction, Adventure, Thriller","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",6.776,1613,2024-10-22,https://image.tmdb.org/t/p/original/eMnWFvrTtNk0kJCVkKGzUUvUWJI.jpg
Red One,Jake Kasdan,"Action, Fantasy, Comedy","After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",6.957,818,2024-10-31,https://image.tmdb.org/t/p/original/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
Elevation,George Nolfi,"Action, Science Fiction, Thriller",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,6.4,166,2024-11-07,https://image.tmdb.org/t/p/original/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg
Heretic,Scott Beck,"Horror, Thriller","Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",7.179,374,2024-10-31,https://image.tmdb.org/t/p/original/fr96XzlzsONrQrGfdLMiwtQjott.jpg
Moana 2,David G. Derrick Jr.,"Animation, Adventure, Family, Comedy","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",6.946,511,2024-11-21,https://image.tmdb.org/t/p/original/m0SbwFNCa9epW1X60deLqTHiP7x.jpg
Armor,Justin Routt,"Action, Crime, Thriller","Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",5.5,74,2024-10-30,https://image.tmdb.org/t/p/original/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg
That Christmas,Simon Otto,"Animation, Comedy, Family, Fantasy, Adventure",It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans — including Santa's.,7.5,134,2024-11-27,https://image.tmdb.org/t/p/original/qK20ZQsvaLM69bDI67c6sMVlXpV.jpg
Absolution,Hans Petter Moland,"Action, Crime, Thriller","An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",6.1,133,2024-10-31,https://image.tmdb.org/t/p/original/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg
Kraven the Hunter,J.C. Chandor,"Action, Adventure, Thriller","Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",5.8,94,2024-12-11,https://image.tmdb.org/t/p/original/pWvQsP9o1MQ4vQNjpL9QeYFXKOs.jpg
The Wild Robot,Chris Sanders,"Animation, Action, Science Fiction, Family","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",8.384,3476,2024-09-08,https://image.tmdb.org/t/p/original/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg
Watchmen: Chapter II,Brandon Vietti,"Animation, Mystery, Science Fiction, Action","Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",7.6,51,2024-11-25,https://image.tmdb.org/t/p/original/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg
"Miraculous World, London: At the Edge of Time",Thomas Astruc,"Animation, Adventure, Action, Fantasy","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",8.468,47,2024-11-14,https://image.tmdb.org/t/p/original/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg
Mufasa: The Lion King,Barry Jenkins,"Adventure, Family, Drama, Animation","Rafiki relays the legend of Mufasa to lion cub Kiara, daughter of Simba and Nala, with Timon and Pumbaa lending their signature schtick. Told in flashbacks, the story introduces Mufasa as an orphaned cub, lost and alone until he meets a sympathetic lion named Taka—the heir to a royal bloodline. The chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe.",7.5,9,2024-12-18,https://image.tmdb.org/t/p/original/4QsIB568LUqs12PQiFEqoUOzLDj.jpg
Weekend in Taipei,George Huang,"Action, Adventure, Thriller","A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",6.1,74,2024-09-19,https://image.tmdb.org/t/p/original/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg
Gladiator II,Ridley Scott,"Action, Adventure, History","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",6.7,1111,2024-11-05,https://image.tmdb.org/t/p/original/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
The Substance,Coralie Fargeat,"Horror, Science Fiction","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",7.2,2614,2024-09-07,https://image.tmdb.org/t/p/original/lqoMzCcZYEFK729d6qzt349fB4o.jpg
Terrifier 3,Damien Leone,"Horror, Thriller","Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",6.9,1234,2024-10-09,https://image.tmdb.org/t/p/original/ju10W5gl3PPK3b7TjEmVOZap51I.jpg
Smile 2,Parker Finn,"Horror, Mystery","About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",6.586,941,2024-10-16,https://image.tmdb.org/t/p/original/eJ0KIFewo6jw51f2Dy0iujEXmqd.jpg
Deadpool & Wolverine,Shawn Levy,"Action, Comedy, Science Fiction","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.671,5937,2024-07-24,https://image.tmdb.org/t/p/original/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
Wicked,Jon M. Chu,"Drama, Romance, Fantasy","In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",7.6,559,2024-11-20,https://image.tmdb.org/t/p/original/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
Inside Out 2,Kelsey Mann,"Animation, Adventure, Comedy, Drama, Family","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.57,4998,2024-06-11,https://image.tmdb.org/t/p/original/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
