title,tags
Harry Potter and the Sorcerer's Stone (Book 1),juvenil fiction rowl jk nan book
Twilight,young adult fiction stepheni meyer edward manag keep vampir ident secret small commun live nobodi safe especi isabella person edward hold dear book
"The Hobbit, Or, There and Back Again",juvenil fiction john ronald reuel tolkien newli rejacket edit classic tale chronicl adventur inhabit middleearth bilbo baggin hobbit brought home shire one ring power book
Angels & Demons,fiction dan brown nan book
Harry Potter and the Prisoner of Azkaban (Book 3),juvenil fiction rowl jk nan book
Harry Potter and the Chamber of Secrets (Book 2),juvenil fiction rowl jk nan book
The Fellowship of the Ring : Being the First Part of the Lord of the Rings,fiction j r r tolkien nan book
Harry Potter and the Order of the Phoenix (Book 5),juvenil fiction rowl jk nan book
Harry Potter and the Half-Blood Prince (Book 6),juvenil fiction rowl jk nan book
Lord of the Flies,fiction william gold classic studi human natur depict degener group schoolboy maroon desert island book
Romeo and Juliet,drama william shakespear offer explanatori note page face text play well introduct shakespear languag life theater book
The Alchemist,fiction paulo coelho nan book
Robert Langdon Novels : The Da Vinci Code : a Novel. 02,art museum curat dan brown nan book
The Giver,juvenil fiction loi lowri nan book
Jane Eyre,fiction charlott brontë retel classic stori orphan young woman accept employ gover soon find love employ book
"Eat, Pray, Love : One Woman's Search for Everything Across Italy, India, and Indonesia",biographi autobiographi elizabeth gilbert gilberteat pray love book
Charlotte's Web (full color),juvenil fiction e b white nan book
Water for Elephants : A Novel,fiction sara gruen nan book
Brave New World,fiction aldou huxley huxley classic prophet novel describ social horror futurist utopia devoid individu freedom book
"Wuthering Heights : The 1847 Text, Backgrounds and Contexts, Criticism",fiction emili bronteemili brontë text novel base first edit 1847 book
The curious incident of the dog in the night-time : a novel,fiction mark haddon despit overwhelm fear interact peopl christoph mathematicallygift autist fifteenyearold boy decid investig murder neighbor dog uncov secret inform mother book
My Sister's Keeper : A Novel,fiction jodi picoult nan book
The Handmaid's Tale,fiction margaret atwood nan book
The Shining,boy stephen king cut blizzard hotel seem develop evil forc mysteri guest supposedli empti hotel book
Holes,blind loui sachar newberi medal award winner 1999 book
"Frankenstein, Or, The Modern Prometheus",fiction mari wollstonecraft shelley edit mauric hindl book
The Glass Castle : A Memoir,biographi autobiographi jeannett wall nan book
The Secret Garden,juvenil fiction franc hodgson burnett tenyearold orphan come live lone hous yorkshir moor discov invalid cousin mysteri lock garden book
"Dracula : Authoritative Text, Backgrounds, Reviews and Reactions, Dramatic and Film Variations, Criticism",fiction bram stoker norton critic edit present fulli annot text 1897 first edit book
The Devil Wears Prada,fiction lauren weisberg smalltown girl fresh ivi leagu colleg land job prestigi fashion magazin wonder glamor perk worth work editor hell book
The Picture of Dorian Gray,fiction oscar wild handsom appear dissolut young dorian gray remain unchang featur portrait becom distort degener progress book
A Tale of Two Cities,fiction charl dicken edit introduct note richard maxwel book
The Princess Bride : S. Morgenstern's Classic Tale of True Love and High Adventure,fiction william goldman 30th anniversari edit goldman frame famou fairi tale autobiograph stori father abridg book read son book
A Wrinkle in Time,juvenil fiction madelein lengl midnight visitor escort meg calvin charl across barrier space time anoth world book
"Tuesdays with Morrie : An Old Man, a Young Man, and Life's Greatest Lesson",amyotroph later sclerosi mitch albom nan book
Outlander,fiction diana gabaldon nan book
A Clash of Kings,fiction georg r r martin estat divid famili scatter lord eddard stark return territori fight ancient spell slowli devour left land reprint book
"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",juvenil fiction rick riordan perci jackson olympian book two sea monster book
Anne of Green Gables,fiction luci maud montgomeri freckl girl realiz elderli cuthbert want adopt boy instead begin tri win themand consequ readerov book
Hamlet,juvenil nonfict william shakespear nan book
The Road,fiction cormac mccarthi nan book
Macbeth,drama william shakespear offer explanatori note page face text play well introduct shakespear languag life theater book
