isbn13,title,subtitle,authors,categories,description,published_year,average_rating,ratings_count
9780439554930,Harry Potter and the Sorcerer's Stone (Book 1),,"Rowling, J.K.",Juvenile Fiction,,2015.0,4.47,5629932.0
9780316015844,Twilight,,Stephenie Meyer,Young Adult Fiction,"Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear.",2006.0,3.59,4367341.0
9780618260300,"The Hobbit, Or, There and Back Again",,John Ronald Reuel Tolkien,Juvenile Fiction,"A newly rejacketed edition of the classic tale chronicles the adventures of the inhabitants of Middle-earth and of Bilbo Baggins, the hobbit who brought home to The Shire the One Ring of Power.",2001.0,4.26,2364968.0
9781416524793,Angels & Demons,,Dan Brown,Fiction,,2006.0,3.88,2279854.0
9780439655484,Harry Potter and the Prisoner of Azkaban (Book 3),,"Rowling, J.K.",Juvenile Fiction,,2015.0,4.55,2149872.0
9780439064866,Harry Potter and the Chamber of Secrets (Book 2),,"Rowling, J.K.",Juvenile Fiction,,2015.0,4.41,2115562.0
9780618346257,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,J. R. R. Tolkien,Fiction,,2003.0,4.35,2009749.0
9780439358071,Harry Potter and the Order of the Phoenix (Book 5),,"Rowling, J.K.",Juvenile Fiction,,2015.0,4.49,1996446.0
9780439785969,Harry Potter and the Half-Blood Prince (Book 6),,"Rowling, J.K.",Juvenile Fiction,,2015.0,4.56,1944099.0
9780140283334,Lord of the Flies,,William Golding,Fiction,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,1999.0,3.67,1861140.0
9780743477116,Romeo and Juliet,,William Shakespeare,Drama,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater",1992.0,3.74,1811259.0
9780061122415,The Alchemist,,Paulo Coelho,Fiction,,2006.0,3.85,1592632.0
9780307277671,Robert Langdon Novels,The Da Vinci Code : a Novel. 02,Dan Brown,Art museum curators,,2003.0,3.82,1588890.0
9780385732550,The Giver,,Lois Lowry,Juvenile Fiction,,2006.0,4.12,1464909.0
9780142437209,Jane Eyre,,Charlotte Brontë,Fiction,Retells the classic story of an orphaned young woman who accepts employment as a governess and soon finds herself in love with her employer.,2003.0,4.11,1328143.0
9780143038412,"Eat, Pray, Love","One Woman's Search for Everything Across Italy, India, and Indonesia",Elizabeth Gilbert,Biography & Autobiography,GILBERT/EAT PRAY LOVE,2007.0,3.54,1309623.0
9780064410939,Charlotte's Web (full color),,E. B. White,Juvenile Fiction,,2001.0,4.16,1229902.0
9781565125605,Water for Elephants,A Novel,Sara Gruen,Fiction,,2007.0,4.08,1198632.0
9780060929879,Brave New World,,Aldous Huxley,Fiction,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,1998.0,3.98,1173739.0
9780393978896,Wuthering Heights,"The 1847 Text, Backgrounds and Contexts, Criticism",Emily Bronte;Emily Brontë,Fiction,The text of the novel is based on the first edition of 1847.,2003.0,3.84,1041597.0
9781400032716,The curious incident of the dog in the night-time,a novel,Mark Haddon,Fiction,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2003.0,3.87,991627.0
9780743454537,My Sister's Keeper,A Novel,Jodi Picoult,Fiction,,2005.0,4.07,950402.0
9780385490818,The Handmaid's Tale,,Margaret Atwood,Fiction,,1998.0,4.09,932832.0
