Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
The Enchanted Castle,Edith Nesbit,"Fiction, Fantasy, Magic, Rings, Friendship, History, England, Brothers and sisters, Wishes, Juvenile fiction, Children's fiction, Fantasy fiction, Castles, Children's stories, Children's fantasy fiction, Castles, fiction, Magic, fiction, Fiction, historical, general, Brothers and sisters, fiction, Friendship, fiction, Great Britain, fiction, Children, England, fiction, Fiction, general, Fantasy fiction, English, Friendship -- Juvenile fiction, Brothers and sisters -- Juvenile fiction, Magic -- Juvenile fiction, Wishes -- Juvenile fiction, Castles -- Juvenile fiction, Rings -- Juvenile fiction, Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction, England in fiction, Castles in fiction, Rings in fiction","E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",4.4,5,1907,http://covers.openlibrary.org/b/id/6644514-L.jpg
Pollyanna,"Eleanor Hodgman Porter, Porter, Eleanor H. Porter","Aunts, Cheerfulness, Classic Literature, Conduct of life, Family, Fiction, History, Interpersonal relations, Juvenile Literature, Juvenile fiction, Orphans, Vermont, Families, Children: Grades 3-4, Large type books, Children's fiction, Orphans, fiction, Conduct of life, fiction, Family life, fiction, Fiction, historical, general, Vermont, fiction, Short stories, Emotions, fiction, American fiction, Fiction, general, Fiction, historical, Interpersonal relations, fiction, JUVENILE FICTION / Classics, Orphans -- Juvenile fiction, Aunts -- Juvenile fiction, Cheerfulness -- Juvenile fiction, Orphans -- Fiction, Aunts -- Fiction, Cheerfulness -- Fiction, Conduct of life -- Fiction, Interpersonal relations -- Fiction, Vermont -- Fiction, Family, fiction, Conduct of life -- Juvenile fiction, Interpersonal relations -- Juvenile fiction, Vermont -- History -- 20th century -- Juvenile fiction","An abridged version of the tale of orphaned, eleven-year-old Pollyanna, who comes to live with austere and wealthy Aunt Polly, bringing happiness to her aunt and other members of the community through her philosophy of gladness. Pollyanna knows the secret to finding a smile -- even when really bad things happen. From the moment she arrives in Beldingsville, she shares her Glad Game with everyone around her. But the person who needs Pollyanna's help the most doesn't want it. - Publisher.",3.5,6,1913,http://covers.openlibrary.org/b/id/902113-L.jpg
The Marvelous Land of Oz,L. Frank Baum,"Children's stories, American, Juvenile fiction, Translations into Russian, Children's literature, English, Children's literature, Russian, Oz (Imaginary place), Wizards, Fantasy, Children's fiction, Oz (imaginary place), fiction, Fantasy fiction, Large type books, Fiction, Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Conduct of life -- Juvenile fiction, Friendship -- Juvenile fiction, Voyages and travels -- Juvenile fiction, Magic -- Juvenile fiction, Practical jokes -- Juvenile fiction, Youth -- Conduct of life -- Juvenile fiction, Queens -- Juvenile fiction, Kings and rulers -- Juvenile fiction, Witches -- Juvenile fiction, Women soldiers -- Juvenile fiction, Adventure and adventurers, fiction, Fiction, fantasy, general, Comics & graphic novels, fantasy, nyt:hardcover-graphic-books=2010-10-17, New York Times bestseller, Comic books, strips, Fantasy comic books, strips, Graphic novels, American fiction, Adaptations, Boys, Friendship, Magic, Cartoons and comics, Dorothy Gale (Fictitious character), Juvenile literature, Magic, fiction","Tip and his creation, Jack Pumpkin, run away to Oz, where they save the city after it is captured by girls.",3.6,17,1904,http://covers.openlibrary.org/b/id/12648656-L.jpg
The Phoenix and the Carpet,Edith Nesbit,"English Fantasy fiction, Magic, Brothers and sisters, Juvenile fiction, Great Britain in fiction, Magic in fiction, Fiction, Brothers and sisters in fiction, Phoenix (Mythical bird), Mythical Animals, History, Children: Grades 4-6, Children's fiction, Fantasy fiction, British and irish fiction (fictional works by one author), Carpets, Fantasy, Siblings, Brothers and sisters -- Juvenile fiction, Magic -- Juvenile fiction, Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction, Phoenix (Mythical bird) -- Juvenile fiction, Children, fiction, London (england), history, fiction, Magic, fiction, Animals, mythical, fiction, Fiction, general, Great Britain","Five British children discover in their new carpet an egg, which hatches into a phoenix that takes them on a series of fantastic adventures around the world.",3.3,162,1903,http://covers.openlibrary.org/b/id/902122-L.jpg
The blue castle,Lucy Maud Montgomery,"Juvenile fiction, Friendship, Self-actualization (Psychology), Choice, History, Single women, Fiction, Romance fiction, Fiction, historical, general, Fiction, general, Fiction, romance, general","Valancy Stirling is 29, unmarried, and has never been in love. Living with her overbearing mother and meddlesome aunt, she finds her only consolation in the ""forbidden"" books of John Foster and her daydreams of the Blue Castle--a place where all her dreams come true and she can be who she truly wants to be. After getting shocking news from the doctor, she rebels against her family and discovers a surprising new world, full of love and adventures far beyond her most secret dreams.",4.2,6,1926,http://covers.openlibrary.org/b/id/14640067-L.jpg
A Little Princess,"Frances Hodgson Burnett, Johanna Ward, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond","Children's fiction, Orphans, fiction, London (england), fiction, Boarding schools, fiction, England, fiction, Crewe, sara (fictitious character), fiction, Schools, fiction, Fiction, Orphans, Schools, Boarding schools, History, Social life and customs, Juvenile fiction, Translations into Russian, Children's stories, English, Children's plays, Girls, Poor girls, Young Adult Fiction, Historical fiction, Princesses, fiction, Manners and customs, Child and youth fiction, Lascar, Ram Das, Father, friendship, boarding school, charity, Orphans -- Juvenile fiction, Boarding schools -- Juvenile fiction, Children's stories, London (England) -- Social life and customs -- Juvenile fiction, England -- London","This is a story about a different kind of princess than one might imagine; a princess that is an orphan - lonely, cold, hungry and abused. Sara Crewe begins life as the beloved, pampered daughter of a rich man. When he dies a pauper, she is thrown on the non-existent mercy of her small-minded, mercenary boarding school mistress. Stripped of all her belongings but for one set of clothes and a doll, Sara becomes a servant of the household. Hated by the schoolmistress for her independent spirit, Sara becomes a pariah in the household, with only a few secretly loyal friends. But through her inner integrity and strength of will, Sara Crewe maintains the deportment, inner nobility and generous spirit of a ""real"" princess.",3.3,12,1905,http://covers.openlibrary.org/b/id/2328315-L.jpg
The Road to Oz,"L. Frank Baum, Jenny S.anchez, John R. Neill","Fairy tales, Juvenile Fiction, Fiction, Oz (Imaginary place), Fantasy, Classic Literature, Children's fiction, Fantasy fiction, Oz (imaginary place), fiction, Fiction, fantasy, general",Dorothy and her friends follow the enchanted road to Oz and arrive in time for Ozma's birthday party.,3.7,7,1909,http://covers.openlibrary.org/b/id/8243922-L.jpg
The Story of Doctor Dolittle,Hugh Lofting,"Animals, Classic Literature, Children's stories, Fiction, Juvenile fiction, Fantasy, Fantasy fiction, Juvenile works, Children's fiction, Animals, fiction, Dolittle, doctor (fictitious character), fiction, Physicians, Human-animal communication, Er tong wen xue, Chang pian xiao shuo, Fiction, fantasy, general","There are some of us now reaching middle age who discover themselves to be lamenting the past in one respect if in none other, that there are no books written now for children comparable with those of thirty years ago.  I say written FOR children because the new psychological business of writing ABOUT them as though they were small pills or hatched in some especially scientific method is extremely popular today.",2.8,10,1920,http://covers.openlibrary.org/b/id/5262289-L.jpg
The Last Battle,C.S. Lewis,"Juvenile Fiction, Science Fiction & Fantasy, Fiction, Fantasy, Children's fiction, Narnia (imaginary place), fiction, Fantasy fiction, Juvenile, Narnia (Imaginary place), Magic, Child and youth fiction, Good and evil, English Fantasy fiction, English literature, 20th century, Adventure and adventurers, fiction, Fiction, fantasy, general, Voyages and travels, Narnia (Lugar imaginario), Ficción juvenil, Bien y mal, Viajes, Novela fantástica, Good and evil, fiction","For the first time, an edition of Lewis's classic fantasy fiction packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive ""P.S."" section about the history of the book, plus a round-up of the first six titles. The last days of Narnia, and all hope seems lost as lies and treachery interweave to threaten the destruction of everything. As the battle lines are drawn, old friends are summoned back to Narnia, though none can predict the outcome in this magnificent ending to the famous series. On 9 December 2005, Andrew (Shrek) Adamson's live-action film adaptation of The Lion, the Witch and the Wardrobe will be released by Disney, and it is already being hailed as the biggest film franchise of all time, guaranteed to appeal to adults and children across the globe. The second film is already in development. Sporting breathtaking new photographic covers, these new adult editions of the seven Chronicles of Narnia now give everyone an opportunity to experience the adventures in their original form. Re-live your childhood fantasies or discover for the first time what everyone will be talking about by Christmas and savour some of the best-loved stories ever written.",4.1,52,1956,http://covers.openlibrary.org/b/id/6529226-L.jpg
The Tale of Peter Rabbit,"Beatrix Potter, Blackwell North America., Jean Little, David Hately, J. K. Jomkhwan, Lisa McCue","Rabbits, fiction, Children's fiction, Senses and sensation, fiction, Adventure and adventurers, fiction, Pictorial works, Juvenile fiction, Rabbits, Children's stories, English, Peter rabbit (fictitious character), fiction, Toy and movable books, Fiction, Specimens, Miniature books, Italian language materials, Peter Rabbit (Fictitious character), Animals, Sound effects books, Juvenile literature, Readers, Spanish language materials, Short stories, Ficción juvenil, Children's stories, French language materials, Welsh language, Conejos, Picture books for children, Brothers and sisters, Gardens, Obedience, Gardens, fiction, Farmers, Board books, Picture books, Pop-up books, JUVENILE FICTION / Animals / Rabbits, JUVENILE FICTION / Classics, JUVENILE FICTION / Nature & the Natural World / Environment, Peter Rabbit (Fictional character), Literature and fiction, juvenile, Accelerated reader, Children's stories, Japanese, Translations from English, Rabbits -- Fiction., Children's stories, Japanese -- Translations from English., Children's stories, English., French language, Français (Langue), Animals, fiction, Peter Rabbit (Fictitious character) -- Pictorial works -- Juvenile fiction, Benjamin Bunny (Fictitious character) -- Pictorial works -- Juvenile fiction, Benjamin Bunny (Fictitious character), Rabbits -- Pictorial works -- Juvenile fiction",One of the best known and loved children's stories is the story of naughty Peter Rabbit and his misadventures as he is chased around a garden.,4.0,22,1920,http://covers.openlibrary.org/b/id/2557658-L.jpg
